年份,CO₂/ppm,温度异常/°C
1958,315.237,0.06
1959,315.982,0.03
1960,316.908,-0.03
1961,317.643,0.06
1962,318.453,0.03
1963,318.993,0.05
1964,319.62,-0.2
1965,320.037,-0.11
1966,321.367,-0.06
1967,322.179,-0.02
1968,323.05,-0.08
1969,324.621,0.05
1970,325.682,0.03
1971,326.32,-0.08
1972,327.457,0.01
1973,329.682,0.16
1974,330.193,-0.07
1975,331.128,-0.01
1976,332.026,-0.1
1977,333.844,0.18
1978,335.415,0.07
1979,336.835,0.16
1980,338.762,0.26
1981,340.12,0.32
1982,341.478,0.14
1983,343.152,0.31
1984,344.868,0.16
1985,346.352,0.12
1986,347.608,0.18
1987,349.312,0.32
1988,351.69,0.39
1989,353.205,0.27
1990,354.453,0.45
1991,355.704,0.41
1992,356.546,0.22
1993,357.215,0.23
1994,358.959,0.31
1995,360.968,0.44
1996,362.743,0.33
1997,363.877,0.46
1998,366.84,0.61
1999,368.54,0.38
2000,369.707,0.39
2001,371.319,0.53
2002,373.453,0.63
2003,375.983,0.61
2004,377.698,0.53
2005,379.983,0.68
2006,382.091,0.64
2007,384.025,0.66
2008,385.832,0.54
2009,387.642,0.65
2010,390.102,0.72
2011,391.851,0.61
2012,394.056,0.64
2013,396.737,0.68
2014,398.812,0.75
2015,401.013,0.9
2016,404.412,1.01
2017,406.758,0.92
2018,408.715,0.85
2019,411.649,0.98
2020,414.213,1.01
2021,416.414,0.85
2022,418.528,0.89
2023,421.077,1.17
2024,424.604,1.28
